"SRR1039508","SRR1039509","SRR1039510","SRR1039511","SRR1039512","SRR1039513","SRR1039514","SRR1039515","SRR1039516","SRR1039517","SRR1039518","SRR1039519","SRR1039520","SRR1039521","SRR1039522","SRR1039523"
0,0.036655,0.108112,0,0,0,0,0.030349,0.06422,0.865334,1.131518,0.207532,0.033344,0.173817,0.025543,0.040025
49.7712,51.889505,53.722696,61.783201,53.091985,39.713427,55.868954,58.83354,67.867257,42.45028,42.450536,67.78465,35.688176,33.644427,42.491154,36.345138
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98.264138,61.745669,104.230067,65.840687,91.889844,68.633926,54.141003,88.018664,120.656683,77.729005,60.213861,93.302521,115.091793,81.617013,90.727689,79.406722
0,0,0,0,0,0,0.019973,0,0,0.111664,0,0,0,0,0,0
17.14522,22.822262,13.660873,20.312379,5.351367,8.477461,10.297347,8.279315,10.519049,19.423409,16.895997,16.502256,15.784449,16.648272,14.567554,13.277944
2.113574,2.002653,2.532614,3.291058,1.886418,2.590344,2.347565,1.871578,1.48935,1.356722,1.521725,1.965275,1.710856,2.537782,1.713572,1.283087
29.877947,39.805911,29.223037,33.41112,26.388796,36.276322,32.69341,26.914468,22.239887,33.602845,33.145201,24.835467,28.173787,51.586157,31.207073,48.772398
4.286116,4.591765,4.745037,4.021539,4.404824,5.417278,4.20187,4.380155,2.525222,2.676696,2.51415,2.821921,4.433564,5.604991,3.541483,4.989495
0,0.845227,1.8974,1.390902,1.974526,0.350885,0.774859,1.02536,1.174379,0.751658,1.273495,0.933311,0,0.86638,1.767887,0.390368
0,0,0.698343,1.323331,1.57898,0,0,1.213767,0,0.780714,1.182245,1.189648,0,0.735281,0,0
0,0.302777,0.797602,0.417674,0,0,0,0,0.276336,0.227006,0.635765,0,0,0.829512,1.033071,0.472557
0,1.337442,0,0,0,0,0,0,0,0,1.034579,0,0,0,1.849333,1.021332
0,0,1.820995,0,0,0,0,0,0,0,0,0,0,0.524865,0,0
1.070702,0.790976,1.361628,1.02625,2.136428,1.005972,1.243974,2.325377,1.167039,1.387396,1.185578,0.936151,2.045211,1.113919,1.862641,1.135287
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
